"Compound_Name","TYPE","CID","SMILES","CAS","MW_Da","Less_equal_600_da"
"Norfloxacin","GN_antibiotics_oshea","4539","CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O","70458-96-7",319.33,TRUE
"Pefloxacin","GN_antibiotics_oshea","51081","CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O","70458-92-3",333.36,TRUE
"Rufloxacin","GN_antibiotics_oshea","58258","CN1CCN(CC1)C2=C(C=C3C4=C2SCCN4C=C(C3=O)C(=O)O)F","101363-10-4",363.4,TRUE
"Sitafloxacin","GN_antibiotics_oshea","461399","C1CC12CN(C[C@H]2N)C3=C(C=C4C(=C3Cl)N(C=C(C4=O)C(=O)O)[C@@H]5C[C@@H]5F)F","127254-12-0",409.8,TRUE
"Sparfloxacin","GN_antibiotics_oshea","60464","C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F","110871-86-8",392.4,TRUE
"Temafloxacin","GN_antibiotics_oshea","60021","CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F","108319-06-8",417.4,TRUE
"Trovafloxacin","GN_antibiotics_oshea","62959","C1[C@@H]2[C@@H](C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F","147059-72-1",416.4,TRUE
"Aztreonam","GN_antibiotics_oshea","5742832","C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/C2=CSC(=N2)N","78110-38-0",435.4,TRUE
"Fosfomycin","GN_antibiotics_oshea","446987","C[C@H]1[C@H](O1)P(=O)(O)O","23155-02-4",138.06,TRUE
"Faropenem","GN_antibiotics_oshea","65894","C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O","106560-14-9",285.32,TRUE
"Doripenem","GN_antibiotics_oshea","73303","C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@@H](C)O","148016-81-3",420.5,TRUE
"Amoxicillin","GN_antibiotics_oshea","33613","CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C","26787-78-0",365.4,TRUE
"Ampicillin","GN_antibiotics_oshea","6249","CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C","69-53-4",349.4,TRUE
"Carbenicillin","GN_antibiotics_oshea","20824","CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C","4697-36-3",378.4,TRUE
"Mezlocillin","GN_antibiotics_oshea","656511","CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCN(C4=O)S(=O)(=O)C)C(=O)O)C","51481-65-3",539.6,TRUE
"Ticarcillin","GN_antibiotics_oshea","36921","CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CSC=C3)C(=O)O)C(=O)O)C","34787-01-4",384.4,TRUE
"Azlocillin","GN_antibiotics_oshea","6479523","CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C","37091-66-0",461.5,TRUE
"Piperacillin","GN_antibiotics_oshea","43672","CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O","61477-96-1",517.6,TRUE
"Sulfabenzamide","GN_antibiotics_oshea","5319","C1=CC=C(C=C1)C(=O)NS(=O)(=O)C2=CC=C(C=C2)N","127-71-9",276.31,TRUE
"Sulfacetamide","GN_antibiotics_oshea","5320","CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N","144-80-9",214.24,TRUE
"Sulfachlorpyridazine","GN_antibiotics_oshea","6634","C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl","80-32-0",284.72,TRUE
"Sulfadiazine","GN_antibiotics_oshea","5215","C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N","68-35-9",250.28,TRUE
"Sulfadimethoxine","GN_antibiotics_oshea","5323","COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC","122-11-2",310.33,TRUE
"Sulfaguanidine","GN_antibiotics_oshea","5324","C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N","57-67-0",214.25,TRUE
"Sulfamerazine","GN_antibiotics_oshea","5325","CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N","127-79-7",264.31,TRUE
"Sulfameter","GN_antibiotics_oshea","5326","COC1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N","651-06-9",280.31,TRUE
"Sulfamethazine","GN_antibiotics_oshea","5327","CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C","57-68-1",278.33,TRUE
"Sulfamethizole","GN_antibiotics_oshea","5328","CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N","144-82-1",270.3,TRUE
"Sulfamethoxazole","GN_antibiotics_oshea","5329","CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N","723-46-6",253.28,TRUE
"Sulfamethoxypyridazine","GN_antibiotics_oshea","5330","COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N","80-35-3",280.31,TRUE
"Sulfamonomethoxine","GN_antibiotics_oshea","5332","COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N","1220-83-3",280.31,TRUE
"Sulfanitran","GN_antibiotics_oshea","5334","CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)[N+](=O)[O-]","122-16-7",335.34,TRUE
"Sulfaphenazole","GN_antibiotics_oshea","5335","C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N","526-08-9",314.4,TRUE
"Sulfapyridine","GN_antibiotics_oshea","5336","C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N","144-83-2",249.29,TRUE
"Sulfaquinoxaline","GN_antibiotics_oshea","5338","C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N","59-40-5",300.34,TRUE
"Sulfathiazole","GN_antibiotics_oshea","5340","C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2","72-14-0",255.3,TRUE
"Sulfisoxazole","GN_antibiotics_oshea","5344","CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N","127-69-5",267.31,TRUE
"Demeclocycline","GN_antibiotics_oshea","54680690","CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O","127-33-3",464.9,TRUE
"Doxycycline","GN_antibiotics_oshea","54671203","C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O","7164-70-7",444.4,TRUE
"Meclocycline","GN_antibiotics_oshea","54676539","CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O","2013-58-3",476.9,TRUE
"Methacycline","GN_antibiotics_oshea","54675785","CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O","914-00-1",442.4,TRUE
"Minocycline","GN_antibiotics_oshea","54675783","CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C","10118-90-8",457.5,TRUE
"Oxytetracycline","GN_antibiotics_oshea","54675779","C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O","79-57-2",460.4,TRUE
"Omadacycline","GN_antibiotics_oshea","54697325","CC(C)(C)CNCC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C","389139-89-3",556.6,TRUE
"Tetracycline","GN_antibiotics_oshea","54675776","C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O","60-54-8",444.4,TRUE
"Tigecycline","GN_antibiotics_oshea","54686904","CC(C)(C)NCC(=O)NC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C","220620-09-7",585.6,TRUE
"Chlortetracycline","GN_antibiotics_oshea","54675777","C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O","57-62-5",478.9,TRUE
"Ofloxacin","antibiotics_other","4583","CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O","82419-36-1",361.4,TRUE
"Tigemonam","antibiotics_other","9576769","CC1([C@@H](C(=O)N1OS(=O)(=O)O)NC(=O)/C(=N\OCC(=O)O)/C2=CSC(=N2)N)C","102507-71-1",437.4,TRUE
"Lenapenem","antibiotics_other","216262","C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)[C@@H](CCNC)O)C(=O)O)[C@@H](C)O","149951-16-6",399.5,TRUE
"Sulopenem","antibiotics_other","9950244","C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)S[C@H]3CC[S@@](=O)C3)C(=O)O)O","120788-07-0",349.5,TRUE
"Biapenem","antibiotics_other","71339","C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3CN4C=NC=[N+]4C3)C(=O)[O-])[C@@H](C)O","120410-24-4",350.4,TRUE
"Tebipenem","antibiotics_other","9800194","C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3CN(C3)C4=NCCS4)C(=O)O)[C@@H](C)O","161715-21-5",383.5,TRUE
"Rolitetracycline","antibiotics_other","54682938","C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O","751-97-3",527.6,TRUE
"Eravacycline","antibiotics_other","54726192","CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(C(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)NC(=O)CN5CCCC5)F","1207283-85-9",558.6,TRUE
"Tetroxoprim","antibiotics_other","65450","COCCOC1=C(C=C(C=C1OC)CC2=CN=C(N=C2N)N)OC","53808-87-0",334.37,TRUE
"Aditoprim","antibiotics_other","68755","CN(C)C1=C(C=C(C=C1OC)CC2=CN=C(N=C2N)N)OC","56066-63-8",303.36,TRUE
"Florfenicol","antibiotics_other","114811","CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O","73231-34-2",358.2,TRUE
"Thiamphenicol","antibiotics_other","27200","CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O","15318-45-3",356.2,TRUE
