"Compound_Name","TYPE","CID","SMILES","CAS","MW_Da","Less_equal_600_da"
"Estradiol","pollutant","5757","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O","50-28-2",272.4,TRUE
"Estriol","pollutant","5756","C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O","50-27-1",288.4,TRUE
"Ethylbenzene","pollutant","7500","CCC1=CC=CC=C1","100-41-4",106.16,TRUE
"Fipronil","pollutant","3352","C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F","120068-37-3",437.1,TRUE
"Fipronil sulfone","pollutant","3078139","C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)(=O)C(F)(F)F)N)Cl)C(F)(F)F","120068-36-2",453.1,TRUE
"Flufenacet","pollutant","86429","CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F","142459-58-3",363.33,TRUE
"Fluoranthene","pollutant","9154","C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4","206-44-0",202.25,TRUE
"Fluoxetine","pollutant","3386","CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F","54910-89-3",309.33,TRUE
"Flupyradifurone","pollutant","16752772","C1C(=CC(=O)O1)N(CC2=CN=C(C=C2)Cl)CC(F)F","951659-40-8",288.68,TRUE
"Gabapentin","pollutant","3446","C1CCC(CC1)(CC(=O)O)CN","60142-96-3",171.24,TRUE
"Gliclazide","pollutant","3475","CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2","21187-98-4",323.4,TRUE
"Guanylurea","pollutant","8859","C(=NC(=O)N)(N)N","141-83-3",102.1,TRUE
"Hydrocodone","pollutant","5284569","CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4","125-29-1",299.4,TRUE
"Ibuprofen","pollutant","3672","CC(C)CC1=CC=C(C=C1)C(C)C(=O)O","58560-75-1",206.28,TRUE
"Imidacloprid","pollutant","86287518","C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl","138261-41-3",255.66,TRUE
"Isoprocarb","pollutant","17517","CC(C)C1=CC=CC=C1OC(=O)NC","2631-40-5",193.24,TRUE
"Ketamine","pollutant","3821","CNC1(CCCCC1=O)C2=CC=CC=C2Cl","6740-88-1",237.72,TRUE
"Lamotrigine","pollutant","3878","C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N","84057-84-1",256.09,TRUE
"Lidocaine","pollutant","3676","CCN(CC)CC(=O)NC1=C(C=CC=C1C)C","137-58-6",234.34,TRUE
"Linalool","pollutant","6549","CC(=CCCC(C)(C=C)O)C","78-70-6",154.25,TRUE
"Sotalol","pollutant","5253","CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O","3930-20-9",272.37,TRUE
"Melamine","pollutant","7955","C1(=NC(=NC(=N1)N)N)N","108-78-1",126.12,TRUE
"Metaflumizone","pollutant","11614934","C1=CC(=CC(=C1)C(F)(F)F)/C(=N/NC(=O)NC2=CC=C(C=C2)OC(F)(F)F)/CC3=CC=C(C=C3)C#N","139968-49-3",506.4,TRUE
"Metazachlor","pollutant","49384","CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)CCl","67129-08-2",277.75,TRUE
"Metazachlor ESA","pollutant","86290102","CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)CS(=O)(=O)O","172960-62-2",323.37,TRUE
"Metformin","pollutant","4091","CN(C)C(=N)N=C(N)N","657-24-9",129.16,TRUE
"Methylamine","pollutant","6329","CN","74-89-5",31.057,TRUE
"Methylchlorophenoxypropionic acid","pollutant","22722247","CCC(C(=O)O)(OC1=CC=CC=C1)Cl",NA,214.64,TRUE
"Modafinil","pollutant","4236","C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N","68693-11-8",273.4,TRUE
"Morphine","pollutant","5288826","CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O","57-27-2",285.34,TRUE
"N,N,N',N'-Tetraacetylethylenediamine","pollutant","66347","CC(=O)N(CCN(C(=O)C)C(=O)C)C(=O)C","10543-57-4",228.24,TRUE
"N,N-diethyl-m-toluamide","pollutant","4284","CCN(CC)C(=O)C1=CC=CC(=C1)C","134-62-3",191.27,TRUE
"N,N-Dimethylaniline","pollutant","949","CN(C)C1=CC=CC=C1","121-69-7",121.18,TRUE
"Naproxen","pollutant","156391","C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O","22204-53-1",230.26,TRUE
"Nitrobenzene","pollutant","7416","C1=CC=C(C=C1)[N+](=O)[O-]","98-95-3",123.11,TRUE
"p-Benzoquinone","pollutant","4650","C1=CC(=O)C=CC1=O","106-51-4",108.09,TRUE
"Propyzamide","pollutant","32154","CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl","23950-58-5",256.12,TRUE
"Ranitidine","pollutant","3001055","CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C","66357-35-5",314.41,TRUE
"Salicylic acid","pollutant","338","C1=CC=C(C(=C1)C(=O)O)O","69-72-7",138.12,TRUE
"Schradan","pollutant","9037","CN(C)P(=O)(N(C)C)OP(=O)(N(C)C)N(C)C","152-16-9",286.25,TRUE
"Sertraline","pollutant","68617","CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl","79617-96-2",306.2,TRUE
"Simazine","pollutant","5216","CCNC1=NC(=NC(=N1)Cl)NCC","122-34-9",201.66,TRUE
"Sitagliptin","pollutant","4369359","C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N","486460-32-6",407.31,TRUE
"Spirotetramat","pollutant","9969573","CCOC(=O)OC1=C(C(=O)NC12CCC(CC2)OC)C3=C(C=CC(=C3)C)C","203313-25-1",373.4,TRUE
"Sulisobenzone","pollutant","19988","COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)S(=O)(=O)O","4065-45-6",308.31,TRUE
"Terbutryn","pollutant","13450","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C","886-50-0",241.36,TRUE
"Terpineol","pollutant","17100","CC1=CCC(CC1)C(C)(C)O","98-55-5",154.25,TRUE
"Tonalide","pollutant","89440","CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C","21145-77-7",258.4,TRUE
"Tramadol","pollutant","33741","CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O","27203-92-5",263.37,TRUE
"N-Phenyl-1-naphthylamine","pollutant","7013","C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32","90-30-2",219.28,TRUE
"2-Naphthylamine","pollutant","7057","C1=CC=C2C=C(C=CC2=C1)N","91-59-8",143.18,TRUE
"1-Naphthylamine","pollutant","8640","C1=CC=C2C(=C1)C=CC=C2N","134-32-7",143.18,TRUE
"N-nitrosodiphenylamine","pollutant","6838","C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O","86-30-6",198.22,TRUE
"Venlafaxine","pollutant","5656","CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O","93413-69-5",277.4,TRUE
"Kanamycin a","GN_antibiotics_oshea","6032","C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N","8063-07-8",484.5,TRUE
"Streptomycin","GN_antibiotics_oshea","19649","C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O","57-92-1",581.6,TRUE
"Amikacin","GN_antibiotics_oshea","37768","C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N","37517-28-5",585.6,TRUE
"Arbekacin","GN_antibiotics_oshea","68682","C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)NC(=O)[C@H](CCN)O)N)N","51025-85-5",552.6,TRUE
"Dibekacin","GN_antibiotics_oshea","470999","C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)N","34493-98-6",451.5,TRUE
"Gentamicin","GN_antibiotics_oshea","3467","CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC","1403-66-3",477.6,TRUE
