"Compound_Name","molar_mass_g_mol","exact_mass_da","formula","lipinski_ro5","atom_count","heavy_atom_count","asymmetric_atom_count","rotatable_bond_count","ring_count","aromatic_ring_count","hetero_ring_count","fsp3","hbd_count","hba_count","formal_charge","tpsa_a2","rel_polar_sa","polarizability_a3","molar_refractivity_cm3_mol","vdw_volume_a3","min_projection_area_a2","max_projection_area_a2","min_projection_radius_a","max_projection_radius_a","vdw_surface_area_a2","solvent_accessible_surface_area_a2","pka_acid_strongest","pka_base_strongest","isoelectric_point","intrinsic_solubility_logS","solubility_category","logp","logd_ph0","logd_ph1","logd_ph2","logd_ph3","logd_ph4","logd_ph5","logd_ph6","logd_ph7","logD_pH7_4_interp","logd_ph8","logd_ph9","logd_ph10","logd_ph11","logd_ph12","logd_ph13","logd_ph14","hlb","iupac_name","smiles","inchi","inchikey","traditional_name","common_names","cas_registry_numbers","smiles_ew","formula_EW","molwt_EW","rb_EW","glob_EW","pbf_EW","func_group_EW","CID","smiles_PC","CAS_PC","MW_Da_PC","Dominant_charge_pH_7_4","Dominant_charge_pH_7_4_code","per_dominant_charge_pH_7_4","Charge_pH_7_4_num","func_group_updated","func_group_other","CODE_2","CODE","Class_abbrv","Class_abbrv_2","hydrophilic_compound","lowglob","lowflex","ENTRY_compound","Neg_charge_T_F","Positive_charge_T_F","Zwitt_charge_T_F","Uncharged_T_F","Group","spp_7_4"
"Cyantraniliprole","473.72","472.005014","C19H14BrClN6O2","true","43","29","0","4","3","3","2","0.11","2","5","0","112.7",0.217403885105808,"41.64","115.99","342.74","67.86","95.52","5.37","8.16","518.39","566.51","13.69","1.59","7.61","-6.33","Low","4.12","2.58","3.45","3.98","4.1","4.12","4.12","4.12","4.12",4.12,"4.12","4.12","4.12","4.12","4.11","4.04","3.62","16.65","3-bromo-1-(3-chloropyridin-2-yl)-N-[4-cyano-2-methyl-6-(methylcarbamoyl)phenyl]-1H-pyrazole-5-carboxamide","CNC(=O)C1=C(NC(=O)C2=CC(Br)=NN2C2=C(Cl)C=CC=N2)C(C)=CC(=C1)C#N","InChI=1S/C19H14BrClN6O2/c1-10-6-11(9-22)7-12(18(28)23-2)16(10)25-19(29)14-8-15(20)26-27(14)17-13(21)4-3-5-24-17/h3-8H,1-2H3,(H,23,28)(H,25,29)","DVBUIBGJRQBEDP-UHFFFAOYSA-N","cyantraniliprole","cyantraniliprole","736994-63-1","CNC(=O)C1=C(NC(=O)C2=CC(Br)=NN2C2=C(Cl)C=CC=N2)C(C)=CC(=C1)C#N","C19H14BrClN6O2",473.71,4,0.387115,1.2932,"No Amine",11578610,"CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)C#N","736994-63-1",473.7,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Cyclohexanone","98.145","98.073164942","C6H10O","true","17","7","0","0","1","0","0","0.83","0","1","0","17.07",0.0931870291516541,"11.12","28.25","104.02","27.09","36.49","3.69","3.84","183.18","248.9",NA,NA,NA,"-0.79","High","1.49","1.49","1.49","1.49","1.49","1.49","1.49","1.49","1.49",1.49,"1.49","1.49","1.49","1.49","1.49","1.49","1.49","5.06","cyclohexanone","O=C1CCCCC1","InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2","JHIVVAPYMSGYDF-UHFFFAOYSA-N","cyclohexanone","ANON; anon; anone; caswell no. 270; cicloesanone; cyclic ketone; cyclohexanon(dutch); cyclohexanone (substance); cyclohexanone homopolymer; cyclohexyl ketone; cykloheksanon; epa pesticide chemical code 025902; hytrol O; hytrol o; hytrolo; ketohexamethylene; nadone; pimelic ketone; pimelin ketone; rcra waste number U057; sextone","108-94-1, 9075-99-4","O=C1CCCCC1","C6H10O",98.143,0,0.300395,0.557672,"No Amine",7967,"C1CCC(=O)CC1","108-94-1",98.14,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Dicamba","221.03","219.9693995","C8H6Cl2O3","true","19","13","0","2","1","1","0","0.12","1","3","0","46.53",0.186291388077031,"19.13","49.39","164.01","32.28","60.81","4.71","4.86","249.77","353.36","2.34",NA,NA,"-3.07","High","2.68","2.68","2.66","2.52","1.94","1.02","0.08","-0.61","-0.82",-0.832,"-0.85","-0.85","-0.85","-0.85","-0.85","-0.85","-0.85","9.0","3,6-dichloro-2-methoxybenzoic acid","COC1=C(Cl)C=CC(Cl)=C1C(O)=O","InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)","IWEDIXLBFLAXBO-UHFFFAOYSA-N","dicamba","dicamba","1918-00-9, 62610-39-3, 89300-29-8","COC1=C(Cl)C=CC(Cl)=C1C(O)=O","C8H6Cl2O3",221.037,2,0.11088,0.525773,"No Amine",3030,"COC1=C(C=CC(=C1C(=O)O)Cl)Cl","1918-00-9",221.03,"(-1)","-",1,-1,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"Dichlobenil","172.01","170.9642545","C7H3Cl2N","true","13","10","0","0","1","1","0","0.0","0","1","0","23.79",0.128894186487512,"15.97","41.39","126.61","24.56","49.86","4.07","4.53","184.57","290.57",NA,NA,NA,"-3.21","High","3.04","3.04","3.04","3.04","3.04","3.04","3.04","3.04","3.04",3.04,"3.04","3.04","3.04","3.04","3.04","3.04","3.04","5.52","2,6-dichlorobenzonitrile","ClC1=CC=CC(Cl)=C1C#N","InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H","YOYAIZYFCNQIRF-UHFFFAOYSA-N","prefix D","C7H3cl2N; DBN; DU-sprex; casoron; casoron 133; casoron G-10; casoron G-4; casoron G20 SR; casoron W-50; casoron gsr; caswell no. 297; cyclomec; dbn (pesticide); dbn (the herbicide); decabane; dichlobanil; dichlobenil; dyclomec; epa pesticide chemical code 027401; niagara 5,996; norosac; prefix D; surfassol","1194-65-6, 104809-79-2","ClC1=CC=CC(Cl)=C1C#N","C7H3Cl2N",172.011,0,5.15356e-11,1.12709e-05,"No Amine",3031,"C1=CC(=C(C(=C1)Cl)C#N)Cl","1194-65-6",172.01,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Diclofenac","296.15","295.016684","C14H11Cl2NO2","true","30","19","0","4","2","2","0","0.07","2","3","0","49.33",0.136921283446209,"29.03","75.46","236.95","45.3","72.09","4.72","6.27","360.28","424.95","4.01","-1.08","1.47","-4.3","Moderate","4.26","4.22","4.25","4.25","4.22","3.96","3.23","2.27","1.38",1.172,"0.86","0.74","0.73","0.73","0.73","0.73","0.73","6.08","2-{2-[(2,6-dichlorophenyl)amino]phenyl}acetic acid","OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl","InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)","DCOPUUMXTXDBNB-UHFFFAOYSA-N","diclofenac","C14H10Cl2KNO2; C14H10Cl2NNaO2; C14H10Cl2NO2.Na; DIC075V; ProSorb-D; allvoran; anthraxiton; apo-diclo; assaren; batafil; benfofen; blesin; delimon; delphimix; dichlofenac; dichlofenal; dichronic; diclo-phlogont; diclo-puren; diclobenin; diclofenac; diclofenac (substance); diclofenac acid; diclofenac potassium (product); diclofenac potassium (substance); diclofenac potassium preparation; diclofenac preparation; diclofenac product; diclofenac product (product); diclofenac sodium (product); diclofenac sodium (substance); diclofenac sodium preparation; diclofenac sodium product; diclofenac, sodium; diclofenaco; diclofenacum; diclonate P; diclophenac; diclophenac sodium; diclord; dicloreum; dicrofenac; dolobasan; duravolten; dyloject; ecofenac; effekton; feloran; kriplex; neriodin; novapirina; novo-difenac; novo-difenac SR; nu-diclo; orthofen; orthophen; ortofen; pennsaid; primofenac; prophenatin; rhumalgan; solaraze; solaraze T; tsudohmin; urigon; valetan; voldal; voltaren; voltaren SR; voltaren ophtha; voltaren ophthalmic; voltaren rapide; voltaren-XR; voltarene; voltarol; vonafec; vurdon; xenid","15307-86-5, 128402-48-2","OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl","C14H11Cl2NO2",296.149,4,0.180519,0.887715,"No Amine",3033,"C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl","15307-86-5",296.1,"(-1)","-",1,-1,"No Amine","No Amine","Pollutant","Non-antibiotic drug","Non-antibiotic drug","Pollutant",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"Diphenylamine","169.227","169.089149358","C12H11N","true","24","13","0","2","2","2","0","0.0","1","1","0","12.03",0.045795424264342,"21.14","54.54","164.18","29.53","63.21","3.9","5.92","262.69","368.6",NA,"0.78",NA,"-3.14","High","3.41","2.56","3.21","3.39","3.41","3.41","3.41","3.41","3.41",3.41,"3.41","3.41","3.41","3.41","3.41","3.41","3.41","4.03","N-phenylaniline","N(C1=CC=CC=C1)C1=CC=CC=C1","InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H","DMBHHRLKUKUOEG-UHFFFAOYSA-N","diphenylamine","N-fenylanilin; big dipper; caswell no. 398; deccoscald 282; difenylamin; diphenylamine (substance); diphenylamine, when used as a fragrance ingredient; epa pesticide chemical code 038501; naugalube 428L; no-scald; no-scald dpa 283; scaldip; shield dpa","122-39-4, 25656-57-9","N(C1=CC=CC=C1)C1=CC=CC=C1","C12H11N",169.222,2,0.0421368,0.49763,"No Amine",11487,"C1=CC=C(C=C1)NC2=CC=CC=C2","122-39-4",169.22,"(+1)","0",0,0,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Diuron","233.09","232.0170184","C9H10Cl2N2O","true","24","14","0","1","1","1","0","0.22","1","1","0","32.34",0.109293680297398,"22.02","59.0","187.06","27.81","69.92","3.93","6.5","295.9","402.13","13.18",NA,NA,"-3.11","High","2.53","2.53","2.53","2.53","2.53","2.53","2.53","2.53","2.53",2.53,"2.53","2.53","2.53","2.53","2.51","2.33","1.78","12.49","1-(3,4-dichlorophenyl)-3,3-dimethylurea","CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1","InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)","XMTQQYYKAHVGBJ-UHFFFAOYSA-N","dynex","DCMU; diuron; diuron (iso); dynex; marmer","330-54-1","CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1","C9H10Cl2N2O",233.094,1,0.0364048,0.452275,"No Amine",3120,"CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl","330-54-1",233.09,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Ethylenediaminetetraacetic acid","292.244","292.090665483","C10H16N2O8","true","36","20","0","11","0","0","0","0.6","4","10","0","155.68",0.37652977313404,"24.69","62.35","250.67","48.09","77.43","5.55","7.19","413.46","471.13","3.05","1.63","2.15","0.53","High","-1.88","-3.7","-2.7","-2.15","-2.32","-3.78","-6.83","-10.57","-13.89",-14.566,"-15.58","-15.95","-15.99","-16.0","-16.0","-16.0","-16.0","26.81","2-({2-[bis(carboxymethyl)amino]ethyl}(carboxymethyl)amino)acetic acid","OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O","InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)","KCXVZYZYPLLWCC-UHFFFAOYSA-N","edetic acid","(ethylenedinitrilo)tetraacetic acid; (ethylenedinitrilo)tetraacetic acid calcium disodium salt; C10H12caN2na2O8; CaEDTA; Calcium-EDTA; EDT; EDTA; H4edta; acid, edetic; acid, ethylenediaminetetraacetic; acid, ethylenedinitrilotetraacetic; acide edetique; acide ethylenediaminetetracetique; acido edetico; acidum edeticum; adsorbonac; antalin; antallin; calciedetate de sodium; calcioedetato sodico; calcitetracemate disodium; calcium disodium (ethylenedinitrilo)tetraacetate; calcium disodium chelate ethylenediaminetetraacetic acid; calcium disodium edathamil; calcium disodium edetate; calcium disodium edetate (jan); calcium disodium ethylendiaminetetraacetate; calcium disodium ethylenediamine tetraacetic acid; calcium disodium ethylenediaminetetraacetate; calcium disodium versenate (TN); calcium edetate; calcium edetate de sodium; calcium edta; calcium salt edetic acid; calcium sodium edta; calcium tetacine; calcium titriplex; caswell no. 438; ccris 946; celon A; celon ath; cheelox; cheelox BF acid; cheladrate; chelaton; chelaton 3; chelest 3A; chemcolox 340; chromium edta; chromium salt edetic acid; clewat taa; complexon II; copper edta; coprin; dicobalt edta; dinatrium calcium edeticum; dinitrilotetraacetate, disodium ethylene; dinitrilotetraacetate, ethylene; dipotassium salt edetic acid; disodium ((ethylenedinitrilo)tetraacetato)calciate; disodium calcitetracemate; disodium calcium edta; disodium calcium ethylenediaminetetraacetate; disodium calcium salt ethylene diamine tetraacetic acid; disodium cobalt edta; disodium edetate; disodium ethylene dinitrilotetraacetate; disodium monocalcium edta; disodium salt edetic acid; dissolvine E; distannous edta; edathamil; edathamil calcium disodium; edathamil disodium; edetamin; edetamine; edetate; edetate (product); edetate (substance); edetate calcium; edetate calcium disodium (anhydrous); edetate calcium disodium (product); edetate calcium disodium (substance); edetate calcium disodium (usp); edetate calcium disodium anhydrous; edetate calcium disodium preparation; edetate disodium (product); edetate disodium (substance); edetate disodium calcium; edetate disodium preparation; edetate preparation; edetate, calcium disodium; edetates; edetato sodico calcico; edetic acid; edetic acid calcium disodium salt; edetic acid, calcium salt; edetic acid, calcium, sodium salt; edetic acid, chromium salt; edetic acid, dipotassium salt; edetic acid, disodium salt; edetic acid, disodium salt, dihydrate; edetic acid, disodium, magnesium salt; edetic acid, disodium, monopotassium salt; edetic acid, magnesium salt; edetic acid, monopotassium salt; edetic acid, monosodium salt; edetic acid, potassium salt; edetic acid, sodium salt; edta; edta (chelating agent); edta acid; edta calcium; edta calcium disodium salt; edta disodium calcium salt; edta preparation; edta, chromium; edta, copper; edta, dicobalt; edta, disodium; edta, distannous; edta, gallium; edta, ion(4-); edta, magnesium disodium; edta, potassium; edta, stannous; edta,calcium; edta,calcium disodium; edta-calcium sodium; edtacal; endrate; epa pesticide chemical code 039101; erbium edetate; ethylene diamine tetraacetic acid, disodium calcium salt; ethylene dinitrilotetraacetate; ethylene dinitrilotetraacetate, disodium; ethylenediamine tetraacetic acid; ethylenediaminetetraacetate; ethylenediaminetetraacetic acid; ethylenediaminetetraacetic acid calcium disodium salt; ethylenediaminetetraacetic acid calcium disodium salt (1:1:2); ethylenediaminetetraacetic acid, calcium disodium chelate; ethylenediaminetetracetic acid calcium sodium salt (1:1:2); ethylenedinitrilotetraacetic acid; europium edetate; gadolinium edta; gallium edta; gluma cleanser; hamp-ene acid; havidote; holmium edetate; komplexon II; kyselina ethylendiamintetraoctova; lanthanum edetate; ledclair; lutetium edetate; magnesium salt edetic acid; metal chelating agent; metaquest A; monocalcium disodium edta; monopotassium salt edetic acid; monosodium salt edetic acid; mosatil; natrii calcii edetas; neodymium edetate; nervanaid B acid; nullapon B acid; nullapon BF acid; perma kleer 50 acid; potassium edta; potassium salt edetic acid; potassium/k edta; praseodymium edetate; quastal special; questex 4H; rikelate calcium; samarium edetate; sequestrene AA; sequestric acid; sequestrol; sodium (calciedetate de); sodium calciumedetate; sodium salt edetic acid; sormetal; stannous edta; tetacin; tetacin-calcium; tetacine, calcium; tetazine; tetracemate; tetrine acid; thulium edetate; titriplex; titriplex II; trilon BS; trilon BW; universne acid; versenate; versene; versene CA; versene acid; vinkeil 100; warkeelate acid","60-00-4, 470462-56-7, 139-33-3, 53632-26-1, 688-55-1, 124949-23-1","OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O","C10H16N2O8",292.243,11,0.177241,0.82882,"Tertiary Amine",6049,"C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O","60-00-4",292.24,"(-2)","--",0.737,-4,"Tertiary Amine","Tertiary Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"No group","Anion"
"Estradiol","272.388","272.177630013","C18H24O2","true","44","20","5","0","4","1","0","0.67","2","2","0","40.46",0.092672759339426,"31.31","79.9","269.86","39.98","84.87","4.27","7.29","436.59","395.1","10.33","-0.88","4.72","-3.99","Moderate","3.75","3.71","3.74","3.75","3.75","3.75","3.75","3.75","3.75",3.746,"3.74","3.73","3.58","3.0","2.16","1.63","1.5","3.79","(1S,3aS,3bR,9bS,11aS)-11a-methyl-1H,2H,3H,3aH,3bH,4H,5H,9bH,10H,11H,11aH-cyclopenta[a]phenanthrene-1,7-diol","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O","InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16-,17-,18-/m1/s1","VOXZDWNPVJITMN-ZBRFXRBCSA-N","estradiol","17b-oestradiol; D-estradiol; D-oestradiol; Vivelle-DOT; cis-estradiol; cis-oestradiol; dihydrofollicular hormone; dihydrofolliculin; dihydroxyesterin; dihydroxyestrin; dihydroxyoestrin; estrace; estradiol; estradiol (medication); estradiol-17β; oestradiol; β-estradiol; 雌二醇","50-28-2, 17916-67-5","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O","C18H24O2",272.382,0,0.123595,0.816587,"No Amine",5757,"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O","50-28-2",272.4,"(0)","0",0.999,-0.0012,"No Amine","No Amine","Pollutant","Non-antibiotic drug","Non-antibiotic drug","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Estriol","288.387","288.172544633","C18H24O3","true","45","21","6","0","4","1","0","0.67","3","3","0","60.69",0.136467889908257,"31.93","81.27","278.41","39.92","88.32","4.28","7.27","444.72","398.51","10.33",NA,NA,"-3.63","High","2.67","2.67","2.67","2.67","2.67","2.67","2.67","2.67","2.67",2.67,"2.67","2.65","2.5","1.92","1.08","0.46","-0.12","5.66","(1R,2R,3aS,3bR,9bS,11aS)-11a-methyl-1H,2H,3H,3aH,3bH,4H,5H,9bH,10H,11H,11aH-cyclopenta[a]phenanthrene-1,2,7-triol","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O","InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3/t13-,14-,15-,16-,17-,18-/m1/s1","PROQIPRRNZUXQM-ZXXIGWHRSA-N","estriol","16-α,17-β-oestriol; 16-α-hydroxyestradiol; 16-α-hydroxyoestradiol; 16α,17β-oestriol; 16α-hydroxy-17β-estradiol; 16α-hydroxyestradiol; 16α-hydroxyoestradiol; 3,16α,17β-estriol; ESL; estratriol; estriel; estriol (medication); estriolo; oestriol; oestriolum; ovestrion; tridestrin; trihydroxyestrin; 雌三醇","50-27-1, 1306-04-3","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O","C18H24O3",288.381,0,0.0856361,0.694289,"No Amine",5756,"C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O","50-27-1",288.4,"(0)","0",0.999,-0.0012,"No Amine","No Amine","Pollutant","Non-antibiotic drug","Non-antibiotic drug","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Ethylbenzene","106.168","106.078250322","C8H10","true","18","8","0","1","1","1","0","0.25","0","0","0","0.0",0,"14.01","35.7","115.87","25.04","42.53","3.36","4.72","198.54","305.63",NA,NA,NA,"-2.36","High","2.93","2.93","2.93","2.93","2.93","2.93","2.93","2.93","2.93",2.93,"2.93","2.93","2.93","2.93","2.93","2.93","2.93","2.62","ethylbenzene","CCC1=CC=CC=C1","InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3","YNQLUTRBYVCPMQ-UHFFFAOYSA-N","ethylbenzene","aethylbenzol; ccris 916; ethylbenzeen; ethylbenzene (substance); ethylenzene; etilbenzene; etylobenzen; hsdb 84","100-41-4","CCC1=CC=CC=C1","C8H10",106.165,1,0.101114,0.508707,"No Amine",7500,"CCC1=CC=CC=C1","100-41-4",106.16,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Fipronil","437.14","435.9387063","C12H4Cl2F6N4OS","true","30","26","1","3","2","2","1","0.17","1","4","0","84.7",0.201748326703666,"30.8","83.66","278.97","45.27","87.0","4.58","7.35","419.83","502.55",NA,"0.18",NA,"-5.96","Low","4.49","4.09","4.43","4.48","4.49","4.49","4.49","4.49","4.49",4.49,"4.49","4.49","4.49","4.49","4.49","4.49","4.49","5.56","5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-trifluoromethanesulfinyl-1H-pyrazole-3-carbonitrile","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F","InChI=1/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2","ZOCSXAVNDGMNBV-UHFFFAOYNA-N","fipronil","C12H4cl2F6N4OS; fipronil; regent","120068-37-3","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F","C12H4Cl2F6N4OS",437.148,4,0.0570796,0.678926,"No Amine",3352,"C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F","120068-37-3",437.1,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Fipronil sulfone","453.14","451.9336209","C12H4Cl2F6N4O2S","true","31","27","0","3","2","2","1","0.17","1","5","0","101.77",0.232123714161896,"31.49","83.14","287.38","48.66","87.73","4.97","7.5","438.43","511.18",NA,"-0.45",NA,"-5.97","Low","4.6","4.46","4.58","4.59","4.6","4.6","4.6","4.6","4.6",4.6,"4.6","4.6","4.6","4.6","4.6","4.6","4.6","5.7","5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-trifluoromethanesulfonyl-1H-pyrazole-3-carbonitrile","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)(=O)C(F)(F)F","InChI=1S/C12H4Cl2F6N4O2S/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)27(25,26)12(18,19)20/h1-2H,22H2","LGHZJDKSVUTELU-UHFFFAOYSA-N","fipronil sulfone","fipronil sulfone","120068-36-2","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)(=O)C(F)(F)F","C12H4Cl2F6N4O2S",453.147,4,0.0836464,0.875303,"No Amine",3078139,"C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)(=O)C(F)(F)F)N)Cl)C(F)(F)F","120068-36-2",453.1,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Pesticide metabolite","Pesticide metabolite","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Flufenacet","363.33","363.066460497","C14H13F4N3O2S","true","37","24","0","6","2","2","1","0.36","0","4","0","55.32",0.122467955103938,"29.13","79.64","280.65","51.67","81.79","5.25","7.57","451.71","567.29","12.58",NA,NA,"-5.2","Low","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22",3.22,"3.22","3.22","3.22","3.21","3.12","2.66","1.8","12.13","N-(4-fluorophenyl)-N-(propan-2-yl)-2-{[5-(trifluoromethyl)-1,3,4-thiadiazol-2-yl]oxy}acetamide","CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1","InChI=1S/C14H13F4N3O2S/c1-8(2)21(10-5-3-9(15)4-6-10)11(22)7-23-13-20-19-12(24-13)14(16,17)18/h3-6,8H,7H2,1-2H3","IANUJLZYFUDJIH-UHFFFAOYSA-N","flufenacet","flufenacet; fluthiamide","142459-58-3","CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1","C14H13F4N3O2S",363.331,6,0.0884772,0.887651,"No Amine",86429,"CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F","142459-58-3",363.33,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Pesticide","Pesticide","Pollutant",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
"Fluoranthene","202.256","202.078250322","C16H10","true","26","16","0","0","4","3","0","0.0","0","0","0","0.0",0,"30.03","66.72","183.53","31.6","72.69","4.66","5.63","282.32","363.46",NA,NA,NA,"-6.54","Low","4.28","4.28","4.28","4.28","4.28","4.28","4.28","4.28","4.28",4.28,"4.28","4.28","4.28","4.28","4.28","4.28","4.28","1.51","fluoranthene","C1=CC=C2C(=C1)C1=CC=CC3=CC=CC2=C13","InChI=1S/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H","GVEPBJHOBDJJJI-UHFFFAOYSA-N","fluoranthene","1,2-(1,8-naphthylene)-benzene; 1,2-(1,8-naphthylene)benzene; 1,2-benzacenaphthene; benzo(jk)fluorene; idryl; rcra waste number U120","206-44-0, 76774-50-0","C1=CC=C2C(=C1)C1=CC=CC3=CC=CC2=C13","C16H10",202.251,0,1.03511e-10,2.34696e-05,"No Amine",9154,"C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4","206-44-0",202.25,"(0)","0",1,0,"No Amine","No Amine","Pollutant","Industrial chemical","Industrial chemical","Pollutant",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"No group","Neutral"
