"name","smiles","formula","molwt","rb","glob","pbf","func_group"
"Gatifloxacin","COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1","C19H22FN3O4","375.394","4","0.078229","0.789162","Secondary Amine"
"Gemifloxacin","CO\N=C1/CN(CC1CN)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=N1)C(O)=O","C18H20FN5O4","389.381","5","0.0288186","0.512717","Primary Amine"
"Grepafloxacin","CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O","C19H22FN3O3","359.395","3","0.0556202","0.604497","Secondary Amine"
"Levofloxacin","C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1","C18H20FN3O4","361.367","2","0.0363424","0.540022","Tertiary Amine"
"Lomefloxacin","CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12","C17H19F2N3O3","351.348","3","0.0704228","0.733025","Secondary Amine"
"Moxifloxacin","COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1C[C@@H]2CCCN[C@@H]2C1)C1CC1","C21H24FN3O4","401.431","4","0.0938397","0.903861","Secondary Amine"
"Nadifloxacin","CC1CCC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCC(O)CC1","C19H21FN2O4","360.379","2","0.0810518","0.760156","No Amine"
"Norfloxacin","CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1","C16H18FN3O3","319.331","3","0.0546021","0.587488","Secondary Amine"
"Pefloxacin","CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1","C17H20FN3O3","333.357","3","0.0657877","0.764329","Tertiary Amine"
"Rufloxacin","CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN3CCSC1=C23)C(O)=O","C17H18FN3O3S","363.407","2","0.0488275","0.575803","Tertiary Amine"
"Sitafloxacin","N[C@@H]1CN(CC11CC1)C1=C(F)C=C2C(=O)C(=CN([C@@H]3C[C@@H]3F)C2=C1Cl)C(O)=O","C19H18ClF2N3O3","409.814","3","0.0809831","0.920956","Primary Amine"
"Sparfloxacin","C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O","C19H22F2N4O3","392.4","3","0.0796206","0.818556","Secondary Amine"
"Temafloxacin","CC1CN(CCN1)C1=C(F)C=C2C(=O)C(=CN(C2=C1)C1=C(F)C=C(F)C=C1)C(O)=O","C21H18F3N3O3","417.381","3","0.105124","0.846409","Secondary Amine"
"Trovafloxacin","NC1[C@@H]2CN(C[C@H]12)C1=C(F)C=C2C(=O)C(=CN(C3=C(F)C=C(F)C=C3)C2=N1)C(O)=O","C20H15F3N4O3","416.353","3","0.0511171","0.58185","Primary Amine"
"Aztreonam","C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O","C13H17N5O8S2","435.433","7","0.136404","0.992149","No Amine"
"Fosfomycin","C[C@@H]1O[C@@H]1P(O)(O)=O","C3H7O4P","138.059","1","0.304939","0.717285","No Amine"
"Faropenem","C[C@@H](O)[C@@H]1[C@H]2SC([C@H]3CCCO3)=C(N2C1=O)C(O)=O","C12H15NO5S","285.316","3","0.0897476","0.819699","No Amine"
"Doripenem","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)=C(N2C1=O)C(O)=O","C15H24N4O6S2","420.504","7","0.0581131","0.881399","Secondary Amine"
"Amoxicillin","CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O","C16H19N3O5S","365.404","4","0.105657","1.10207","Primary Amine"
"Ampicillin","CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O","C16H19N3O4S","349.405","4","0.157688","1.00077","Primary Amine"
"Carbenicillin","CC1(C)S[C@@H]2[C@H](NC(=O)C(C(O)=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O","C17H18N2O6S","378.4","5","0.166251","1.23359","No Amine"
"Mezlocillin","CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O","C21H25N5O8S2","539.582","6","0.0857029","1.24332","No Amine"
"Ticarcillin","CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(O)=O)C3=CSC=C3)C(=O)N2[C@H]1C(O)=O","C15H16N2O6S2","384.427","5","0.118818","0.990522","No Amine"
"Azlocillin","CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O","C20H23N5O6S","461.492","5","0.111977","1.18739","No Amine"
"Piperacillin","CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C2=CC=CC=C2)C(=O)C1=O","C23H27N5O7S","517.555","6","0.0720295","1.17784","No Amine"
"Sulfabenzamide","NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C1=CC=CC=C1","C13H12N2O3S","276.311","3","0.14708","1.15397","No Amine"
"Sulfacetamide","CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1","C8H10N2O3S","214.242","2","0.127387","0.873562","No Amine"
"Sulfachlorpyridazine","NC1=CC=C(C=C1)S(=O)(=O)NC1=NN=C(Cl)C=C1","C10H9ClN4O2S","284.722","3","0.11004","0.807862","No Amine"
"Sulfadiazine","NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1","C10H10N4O2S","250.277","3","0.111254","0.788075","No Amine"
"Sulfadimethoxine","COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1","C12H14N4O4S","310.329","5","0.258628","1.24644","No Amine"
"Sulfaguanidine","NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1","C7H10N4O2S","214.245","3","0.159071","0.883705","No Amine"
"Sulfamerazine","CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1","C11H12N4O2S","264.304","3","0.0896559","0.782461","No Amine"
"Sulfameter","COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1","C11H12N4O3S","280.303","4","0.0741501","0.74677","No Amine"
"Sulfamethazine","CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1","C12H14N4O2S","278.33","3","0.0965737","0.787319","No Amine"
"Sulfamethizole","CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1","C9H10N4O2S2","270.331","3","0.0272584","0.479318","No Amine"
"Sulfamethoxazole","CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1","C10H11N3O3S","253.278","3","0.12111","0.894304","No Amine"
"Sulfamethoxypyridazine","COC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)C=C1","C11H12N4O3S","280.303","4","0.185112","0.973948","No Amine"
"Sulfamonomethoxine","COC1=NC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1","C11H12N4O3S","280.303","4","0.0835635","0.814951","No Amine"
"Sulfanitran","CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)[N+]([O-])=O","C14H13N3O5S","335.335","5","0.137598","0.982293","No Amine"
"Sulfaphenazole","NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1","C15H14N4O2S","314.362","4","0.0779269","0.743301","No Amine"
"Sulfapyridine","NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1","C11H11N3O2S","249.289","3","0.228747","1.01567","No Amine"
"Sulfaquinoxaline","NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=C2C=CC=CC2=N1","C14H12N4O2S","300.336","3","0.220031","1.08954","No Amine"
"Sulfathiazole","NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1","C9H9N3O2S2","255.317","3","0.0317305","0.46113","No Amine"
"Sulfisoxazole","CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C","C11H13N3O3S","267.304","3","0.174497","0.972258","No Amine"
"Demeclocycline","CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)C4=C(Cl)C=CC(O)=C4C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O","C21H21ClN2O8","464.853","2","0.128828","1.07362","Tertiary Amine"
"Doxycycline","C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C1C=CC=C2O","C22H24N2O8","444.435","2","0.107848","1.03433","Tertiary Amine"
"Meclocycline","CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)C4=C(Cl)C=CC(O)=C4C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O","C22H21ClN2O8","476.864","2","0.149025","1.01155","Tertiary Amine"
"Methacycline","CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)C4=C(C(O)=CC=C4)C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O","C22H22N2O8","442.419","2","0.199638","1.33474","Tertiary Amine"
"Minocycline","CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(O)=C4C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O)N(C)C","C23H27N3O7","457.476","3","0.136353","1.04748","Tertiary Amine"
"Oxytetracycline","CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)C1=O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O","C22H24N2O9","460.434","2","0.228258","1.11117","Tertiary Amine"
"Omadacycline","CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(CNCC(C)(C)C)C(O)=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)C1=O)N(C)C","C29H40N4O7","556.651","7","0.0645035","1.02524","Secondary Amine"
"Tetracycline","CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)C1=O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O","C22H24N2O8","444.435","2","0.19132","1.15587","Tertiary Amine"
"Tigecycline","CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(NC(=O)CNC(C)(C)C)C(O)=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)C1=O)N(C)C","C29H39N5O8","585.649","7","0.0639145","1.12793","Secondary Amine"
"Chlortetracycline","CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)C1=O)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O","C22H23ClN2O8","478.88","2","0.153817","1.17265","Tertiary Amine"
"Ofloxacin","CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1","C18H20FN3O4","361.367","2","0.0535263","0.671372","Tertiary Amine"
"Tigemonam","CC1(C)[C@H](NC(=O)C(=N/OCC(O)=O)\C2=CSC(N)=N2)C(=O)N1OS(O)(=O)=O","C12H15N5O9S2","437.406","8","0.107724","0.905717","No Amine"
"Lenapenem","CNCC[C@@H](O)[C@@H]1C[C@@H](CN1)SC1=C(N2[C@@H]([C@@H]([C@@H](C)O)C2=O)[C@H]1C)C(O)=O","C18H29N3O5S","399.505","8","0.0640449","0.965467","Secondary Amine"
"Sulopenem","C[C@@H](O)[C@@H]1[C@H]2SC(S[C@H]3CC[S@@](=O)C3)=C(N2C1=O)C(O)=O","C12H15NO5S3","349.446","4","0.0780555","0.785099","No Amine"
"Biapenem","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN4C=NC=[N+]4C3)=C(N2C1=O)C(O)=O","C15H19N4O4S+","351.401","4","0.069738","0.801282","No Amine"
"Tebipenem","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN(C3)C3=NCCS3)=C(N2C1=O)C(O)=O","C16H21N3O4S2","383.486","5","0.110275","1.09091","No Amine"
"Rolitetracycline","CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(=O)NCN2CCCC2)C1=O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O","C27H33N3O8","527.566","4","0.0912214","1.19453","Tertiary Amine"
"Eravacycline","CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(F)C=C(NC(=O)CN5CCCC5)C(O)=C4C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O","C27H31FN4O8","558.555","5","0.0914952","1.29987","Tertiary Amine"
"Tetroxoprim","COCCOC1=C(OC)C=C(CC2=CN=C(N)N=C2N)C=C1OC","C16H22N4O4","334.37","8","0.144304","1.19819","No Amine"
"Aditoprim","COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1N(C)C","C15H21N5O2","303.36","5","0.160841","1.06203","No Amine"
"Florfenicol","CS(=O)(=O)C1=CC=C(C=C1)[C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl","C12H14Cl2FNO4S","358.213","6","0.0976636","0.841797","No Amine"
"Thiamphenicol","CS(=O)(=O)C1=CC=C(C=C1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl","C12H15Cl2NO5S","356.222","6","0.194236","1.03147","No Amine"
